gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
PRDM6,0.004889724034131086,0.006886712394640434,-0.001996988360509348,down_in_CKD,-0.5736338969462621,-1.6940808233322149,0.10053724763949949,0.330229342620231,2.692275117756176,0.11094474404328553,0.0005512160124901862
PRDM8,0.0033283573802261736,0.0011154148836215055,0.002212942496604668,up_in_CKD,0.6832382554967832,1.849028891788207,0.07934309786985344,0.29430293686286263,3.8193914763350802,0.05973419891046353,0.0008031650256597941
PRDX1,1.6256234214849696,1.5837246066198791,0.041898814865090506,up_in_CKD,0.1979137557641437,0.5309629951576569,0.6017942123144858,0.730676352875036,0.3204806295327473,0.5753945500807495,0.001130039809044586
PRDX3,0.7595339111626049,0.8071493162556439,-0.047615405093038965,down_in_CKD,-0.33899345280014875,-0.9689003666699596,0.340382061253156,0.5082342682049542,0.9402264085202728,0.33972471744948374,0.004744513163112476
PRDX4,0.235952601840964,0.22646576019128162,0.009486841649682387,up_in_CKD,0.13158895810558227,0.35132362843788206,0.7295150971137937,0.8263210335398116,0.14167353187074022,0.7091868841656734,0.00010342841347888138
PRDX5,1.2659472940347205,1.384089935686199,-0.11814264165147859,down_in_CKD,-0.7629122944658983,-2.131609138253902,0.04260868120847333,0.21418381360424904,4.762105928568175,0.03679370347647582,0.06031785501360559
PRDX6,1.0050059868704593,1.0986303583226438,-0.0936243714521845,down_in_CKD,-0.671185235417181,-1.8423052372323308,0.07857981095328694,0.292747208609678,3.6858241656165007,0.0641201128803242,0.033525219092987314
PREB,0.07613603610571082,0.08401906846806723,-0.007883032362356407,down_in_CKD,-0.6117404091772629,-1.791728364522334,0.08298995824386106,0.30192358774196254,3.0618517763484405,0.09004460813369658,0.002508128604350319
PRELID1,0.6720383268941318,0.7085346979930004,-0.03649637109886861,down_in_CKD,-0.20351808963108503,-0.5521440144891011,0.5868528480838172,0.7182163821680534,0.3388877411488885,0.5646820896218139,0.0010676883921159797
PRELID2,0.02096389330469279,0.019857473241245826,0.0011064200634469633,up_in_CKD,0.14197824412188698,0.4011782521512358,0.6913156378248162,0.7983704877905222,0.16492763294127924,0.6874495373008693,1.536246220546464e-05
PRELID3A,0.004463874677644813,0.002205802791880183,0.00225807188576463,up_in_CKD,0.7559074233216098,2.140925222134478,0.040951131193919764,0.2100410742460418,4.675058448813125,0.038437262553958886,0.001156754368455369
PRELID3B,0.10023536025232602,0.08263801672104472,0.017597343531281298,up_in_CKD,0.280706056212363,0.8220184092556797,0.41737218468011433,0.5797446529839654,0.6446936454078951,0.4281296831284583,0.0011695348955071707
PRELP,0.009531375696601868,0.01475454165159147,-0.005223165954989601,down_in_CKD,-0.48385589955043995,-1.4130871661022806,0.16760613979484587,0.3990950461560892,1.9154988943344446,0.1762378476501781,0.0010081836814426481
PREP,0.03051981737848096,0.03400402641579193,-0.003484209037310969,down_in_CKD,-0.37189927841489473,-1.075544029504241,0.2904720306989413,0.5018154953177741,1.131619690517886,0.2956465879079573,0.0003880274590052753
PREPL,0.3180050587269797,0.2757436966535855,0.042261362073394204,up_in_CKD,0.5070106631154152,1.3749297614265679,0.1841355539437658,0.4027416455040257,2.1032166478314527,0.15703301522754945,0.008463081002683278
PREX1,0.054221136275099606,0.08331240908150511,-0.029091272806405506,down_in_CKD,-0.9173124935321023,-2.6690363661372167,0.011995380603430545,0.1111776330049585,6.884690815555227,0.013369315689237849,0.025457776788175103
PREX2,0.03317058019990217,0.05731804138472448,-0.024147461184822312,down_in_CKD,-1.0668248192516885,-2.9995285933947935,0.005712312862951239,0.07355268360151596,9.31185159522053,0.004639085242900876,0.029197681164757693
PRF1,0.03414427511179255,0.03339526736097244,0.0007490077508201104,up_in_CKD,0.03235041885342639,0.09113635469381992,0.9280411905680735,0.9569713481811329,0.008562678545390121,0.9268686209967616,4.628324483091835e-07
PRG4,0.00016754019435999334,0.0,0.00016754019435999334,up_in_CKD,0.3842122429322724,0.9999999999999997,0.3342819433946577,0.5018154953177741,1.2077922077922072,0.28023200680839966,1.92762759876858e-05
PRH1,0.07913262590149998,0.0409665249219095,0.038166100979590487,up_in_CKD,0.7707283085291229,2.1522974842306883,0.04082493159983489,0.2095843450006188,4.860181027375877,0.03503416932126787,0.019962701013465225
PRICKLE1,0.038137539663711105,0.01907168339261458,0.019065856271096526,up_in_CKD,1.4947715182820718,4.021897230111856,0.0007352099936272559,0.024264439038824453,18.280979115277827,0.00016887527656631997,0.04602689245748766
PRICKLE2,0.04848554171729856,0.03245700550005932,0.016028536217239243,up_in_CKD,1.584715073735069,4.268320635834854,0.00041174762820856553,0.017336427713106655,20.547178894825738,8.153412187301063e-05,0.044731593315527646
