gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SAMD13,0.8428571428571429,0.85,0.8888888888888887,0.35
GPR180,0.8523809523809524,0.85,0.9277777777777778,0.35
RGS17,0.8523809523809524,0.85,0.8166666666666667,0.35
F2RL1,0.8523809523809524,0.85,0.9416666666666667,0.35
SOCS2,0.8476190476190476,0.8499999999999999,0.9,0.34999999999999987
SLC25A4,0.8476190476190476,0.8499999999999999,0.8694444444444445,0.34999999999999987
SYT16,0.8476190476190476,0.8499999999999999,0.8583333333333332,0.34999999999999987
CDCA2,0.8476190476190476,0.8499999999999999,0.836111111111111,0.34999999999999987
LRRK2,0.8476190476190476,0.8499999999999999,0.9111111111111111,0.34999999999999987
TNFRSF11A,0.8476190476190476,0.8416666666666666,0.8527777777777779,0.34166666666666656
NOD2,0.8523809523809524,0.8416666666666666,0.85,0.34166666666666656
PLCH1,0.8476190476190476,0.8416666666666666,0.8055555555555556,0.34166666666666656
RAB3A,0.8428571428571429,0.8416666666666666,0.9333333333333333,0.34166666666666656
SEMA3B-AS1,0.8428571428571429,0.8416666666666666,0.9277777777777777,0.34166666666666656
SLC12A8,0.8476190476190476,0.8416666666666666,0.8833333333333334,0.34166666666666656
DLGAP1-AS1,0.8428571428571429,0.8416666666666666,0.9277777777777778,0.34166666666666656
DNMT3B,0.8428571428571429,0.8416666666666666,0.8388888888888889,0.34166666666666656
DCDC1,0.8476190476190476,0.8416666666666666,0.9111111111111111,0.34166666666666656
CDT1,0.8476190476190476,0.8416666666666666,0.888888888888889,0.34166666666666656
ARG2,0.8476190476190476,0.8416666666666666,0.8916666666666666,0.34166666666666656
TRIM59,0.8428571428571429,0.8416666666666666,0.9,0.34166666666666656
ITGB6,0.8428571428571429,0.8416666666666666,0.9361111111111111,0.34166666666666656
GRASP,0.8476190476190475,0.8416666666666666,0.9777777777777779,0.34166666666666656
KLF6,0.8285714285714285,0.8416666666666666,0.8166666666666668,0.34166666666666656
MACC1,0.8428571428571429,0.8416666666666666,0.9222222222222222,0.34166666666666656
FOXO1,0.8380952380952381,0.8416666666666666,0.8777777777777779,0.34166666666666656
MBNL1-AS1,0.8523809523809524,0.8416666666666666,0.9222222222222222,0.34166666666666656
MRPS36,0.8476190476190476,0.8416666666666666,0.925,0.34166666666666656
DSC2,0.8476190476190476,0.8416666666666666,0.8972222222222224,0.34166666666666656
SLC2A4,0.8428571428571429,0.8416666666666666,0.9027777777777779,0.34166666666666656
COX7A1,0.8428571428571429,0.8416666666666666,0.861111111111111,0.34166666666666656
CCNB1IP1,0.8285714285714285,0.8333333333333333,0.8833333333333332,0.33333333333333326
TAL1,0.819047619047619,0.8333333333333333,0.913888888888889,0.33333333333333326
ANKRD45,0.8428571428571429,0.8333333333333333,0.8111111111111111,0.33333333333333326
VWDE,0.8428571428571429,0.8333333333333333,0.9222222222222222,0.33333333333333326
STAT1,0.8428571428571429,0.8333333333333333,0.9277777777777778,0.33333333333333326
SPSB1,0.8238095238095238,0.8333333333333333,0.9,0.33333333333333326
IRF5,0.8238095238095238,0.8333333333333333,0.95,0.33333333333333326
JMJD6,0.8285714285714285,0.8333333333333333,0.8916666666666668,0.33333333333333326
TGM7,0.8238095238095238,0.8333333333333333,0.9194444444444443,0.33333333333333326
PRR15,0.8285714285714285,0.8333333333333333,0.875,0.33333333333333326
TMEM159,0.8380952380952381,0.8333333333333333,0.9444444444444444,0.33333333333333326
BTG2,0.8285714285714285,0.825,0.9,0.32499999999999996
CCDC151,0.8190476190476191,0.825,0.925,0.32499999999999996
TP53INP1,0.8238095238095238,0.825,0.85,0.32499999999999996
STX7,0.8238095238095238,0.825,0.8777777777777779,0.32499999999999996
TMEM139,0.8238095238095238,0.825,0.9,0.32499999999999996
DNAJC22,0.819047619047619,0.825,0.85,0.32499999999999996
SEPT4,0.8238095238095238,0.825,0.9277777777777778,0.32499999999999996
EPG5,0.8190476190476191,0.825,0.8527777777777776,0.32499999999999996
SIK2,0.8190476190476191,0.825,0.8833333333333334,0.32499999999999996
